
    # |      % | total% | amount | word
 ---------------------------------------
  298 |  0.034 | 64.994 |    677 | since 
  299 |  0.034 | 65.028 |    676 | open 
  300 |  0.034 | 65.062 |    676 | feel 
  301 |  0.034 | 65.096 |    675 | electronic 
  302 |  0.034 | 65.130 |    674 | sea 
  303 |  0.034 | 65.164 |    672 | sometimes 
  304 |  0.034 | 65.198 |    669 | sure 
  305 |  0.033 | 65.231 |    658 | near 
  306 |  0.033 | 65.264 |    656 | together 
  307 |  0.033 | 65.297 |    654 | letter 
  308 |  0.033 | 65.330 |    651 | rest 
  309 |  0.033 | 65.363 |    651 | thou 
  310 |  0.033 | 65.395 |    650 | towards 
  311 |  0.032 | 65.428 |    645 | death 
  312 |  0.032 | 65.460 |    644 | speak 
  313 |  0.032 | 65.493 |    642 | others 
  314 |  0.032 | 65.525 |    637 | whose 
  315 |  0.032 | 65.557 |    634 | believe 
  316 |  0.032 | 65.589 |    633 | meg 
  317 |  0.032 | 65.621 |    631 | didn't 
  318 |  0.032 | 65.652 |    629 | jane 
  319 |  0.031 | 65.684 |    623 | state 
  320 |  0.031 | 65.715 |    622 | passed 
  321 |  0.031 | 65.746 |    618 | business 
  322 |  0.031 | 65.777 |    616 | terms 
  323 |  0.031 | 65.808 |    615 | leave 
  324 |  0.031 | 65.839 |    612 | behind 
  325 |  0.031 | 65.870 |    608 | fire 
  326 |  0.031 | 65.900 |    607 | bed 
  327 |  0.031 | 65.931 |    606 | coming 
  328 |  0.030 | 65.961 |    605 | used 
  329 |  0.030 | 65.992 |    605 | e 
  330 |  0.030 | 66.022 |    597 | sort 
  331 |  0.030 | 66.052 |    596 | whether 
  332 |  0.030 | 66.082 |    593 | hard 
  333 |  0.030 | 66.111 |    590 | true 
  334 |  0.030 | 66.141 |    589 | brought 
  335 |  0.030 | 66.171 |    589 | john 
  336 |  0.030 | 66.200 |    587 | matter 
  337 |  0.029 | 66.230 |    585 | family 
  338 |  0.029 | 66.259 |    583 | dead 
  339 |  0.029 | 66.288 |    582 | foundation 
  340 |  0.029 | 66.318 |    580 | i'm 
  341 |  0.029 | 66.347 |    580 | around 
  342 |  0.029 | 66.376 |    579 | amy 
  343 |  0.029 | 66.405 |    576 | times 
  344 |  0.029 | 66.434 |    571 | present 
  345 |  0.029 | 66.463 |    569 | really 
  346 |  0.029 | 66.491 |    566 | strange 
  347 |  0.028 | 66.520 |    564 | money 
  348 |  0.028 | 66.548 |    560 | live 
  349 |  0.028 | 66.576 |    551 | feet 
  350 |  0.028 | 66.603 |    547 | hour 
  351 |  0.028 | 66.631 |    546 | mean 
  352 |  0.028 | 66.658 |    546 | sister 
  353 |  0.028 | 66.686 |    546 | laurie 
  354 |  0.027 | 66.713 |    545 | happy 
  355 |  0.027 | 66.740 |    543 | answered 
  356 |  0.027 | 66.768 |    539 | children 
  357 |  0.027 | 66.795 |    538 | least 
  358 |  0.027 | 66.822 |    538 | certain 
  359 |  0.027 | 66.849 |    536 | nature 
  360 |  0.027 | 66.876 |    535 | already 
  361 |  0.027 | 66.903 |    535 | fear 
  362 |  0.027 | 66.930 |    534 | taken 
  363 |  0.027 | 66.956 |    533 | window 
  364 |  0.027 | 66.983 |    532 | less 
  365 |  0.027 | 67.010 |    532 | ask 
  366 |  0.027 | 67.037 |    532 | ye 
  367 |  0.027 | 67.064 |    531 | high 
  368 |  0.027 | 67.090 |    527 | either 
